Freq.	V(n018)	V(n019)
1.25892541179419e+05	(-1.38072423411485e+00dB,-1.27110085328826e+02°)	(-4.32887839789119e+01dB,1.42048711546291e+02°)
1.31825673855643e+05	(-1.90901066703075e+00dB,-1.32371555685980e+02°)	(-4.34046324885286e+01dB,1.36743513150700e+02°)
1.38038426460291e+05	(-2.48926570644701e+00dB,-1.37680545272967e+02°)	(-4.35712351553562e+01dB,1.31388084433733e+02°)
1.44543977074595e+05	(-3.12254150061395e+00dB,-1.43002109663501e+02°)	(-4.37895242196845e+01dB,1.26017143875647e+02°)
1.51356124843623e+05	(-3.80888472726700e+00dB,-1.48300198249839e+02°)	(-4.40594143022855e+01dB,1.20666490072079e+02°)
1.58489319246114e+05	(-4.54732065456002e+00dB,-1.53539369871786e+02°)	(-4.43797851742044e+01dB,1.15371282367414e+02°)
1.65958690743759e+05	(-5.33592053604789e+00dB,-1.58686445447530e+02°)	(-4.47485477109914e+01dB,1.10164383872321e+02°)
1.73780082874940e+05	(-6.17194116602808e+00dB,-1.63711898920177e+02°)	(-4.51627818378769e+01dB,1.05074965447313e+02°)
1.81970085861001e+05	(-7.05201424514579e+00dB,-1.68590844966491e+02°)	(-4.56189240929369e+01dB,1.00127512069760e+02°)
1.90546071796328e+05	(-7.97235797163132e+00dB,-1.73303563003395e+02°)	(-4.61129771970935e+01dB,9.53412918917420e+01°)
1.99526231496891e+05	(-8.92898449436476e+00dB,-1.77835577189090e+02°)	(-4.66407152363672e+01dB,9.07302680864774e+01°)
2.08929613085407e+05	(-9.91788286639304e+00dB,1.77822627885508e+02°)	(-4.71978640589625e+01dB,8.63033735695397e+01°)
2.18776162394959e+05	(-1.09351653905184e+01dB,1.73676145809563e+02°)	(-4.77802447368252e+01dB,8.20650382763338e+01°)
2.29086765276781e+05	(-1.19771732130389e+01dB,1.69726328243272e+02°)	(-4.83838758982413e+01dB,7.80158556355056e+01°)
2.39883291901953e+05	(-1.30405431769384e+01dB,1.65971509438519e+02°)	(-4.90050368846972e+01dB,7.41532911271710e+01°)
2.51188643150962e+05	(-1.41222417034066e+01dB,1.62407704144059e+02°)	(-4.96402974320691e+01dB,7.04723611503748e+01°)
2.63026799189542e+05	(-1.52195730564516e+01dB,1.59029234023043e+02°)	(-5.02865211495147e+01dB,6.69662366363195e+01°)
2.75422870333821e+05	(-1.63301693767890e+01dB,1.55829260472381e+02°)	(-5.09408500856166e+01dB,6.36267484276431e+01°)
2.88403150312665e+05	(-1.74519689402510e+01dB,1.52800218129504e+02°)	(-5.16006767218575e+01dB,6.04447876312896e+01°)
3.01995172040207e+05	(-1.85831878003884e+01dB,1.49934154274068e+02°)	(-5.22636084159797e+01dB,5.74106047486965e+01°)
3.16227766016843e+05	(-1.97222886072122e+01dB,1.47222984855866e+02°)	(-5.29274279233431e+01dB,5.45140165434087e+01°)
3.31131121482597e+05	(-2.08679492230237e+01dB,1.44658680647323e+02°)	(-5.35900524220435e+01dB,5.17445318139101e+01°)
3.46736850452537e+05	(-2.20190327730943e+01dB,1.42233396624766e+02°)	(-5.42494924468058e+01dB,4.90914061775562e+01°)
3.63078054770107e+05	(-2.31745600706875e+01dB,1.39939556890117e+02°)	(-5.49038113954112e+01dB,4.65436341958580e+01°)
3.80189396320568e+05	(-2.43336848401135e+01dB,1.37769905456240e+02°)	(-5.55510857066480e+01dB,4.40898839107575e+01°)
3.98107170553504e+05	(-2.54956718320293e+01dB,1.35717531421256e+02°)	(-5.61893654273370e+01dB,4.17183752504836e+01°)
4.16869383470342e+05	(-2.66598777138521e+01dB,1.33775875169511e+02°)	(-5.68166346241557e+01dB,3.94166993912657e+01°)
4.36515832240173e+05	(-2.78257345029034e+01dB,1.31938720717658e+02°)	(-5.74307709429364e+01dB,3.71715711604615e+01°)
4.57088189614883e+05	(-2.89927352463165e+01dB,1.30200177726330e+02°)	(-5.80295035531813e+01dB,3.49684999471555e+01°)
4.78630092322647e+05	(-3.01604216379197e+01dB,1.28554655666678e+02°)	(-5.86103687791538e+01dB,3.27913564706856e+01°)
5.01187233627281e+05	(-3.13283732654341e+01dB,1.26996831354485e+02°)	(-5.91706629667627e+01dB,3.06218010730014e+01°)
5.24807460249782e+05	(-3.24961982085473e+01dB,1.25521610126472e+02°)	(-5.97073927362449e+01dB,2.84385231695311e+01°)
5.49540873857634e+05	(-3.36635247530583e+01dB,1.24124079524073e+02°)	(-6.02172240368385e+01dB,2.62162177096549e+01°)
5.75439937337167e+05	(-3.48299940720602e+01dB,1.22799452993452e+02°)	(-6.06964339820266e+01dB,2.39241901371761e+01°)
6.02559586074368e+05	(-3.59952538877722e+01dB,1.21542998848186e+02°)	(-6.11408745310149e+01dB,2.15244301126023e+01°)
6.30957344480204e+05	(-3.71589534656923e+01dB,1.20349946502750e+02°)	(-6.15459671213769e+01dB,1.89689195960293e+01°)
6.60693448007608e+05	(-3.83207410261217e+01dB,1.19215357204904e+02°)	(-6.19067671903627e+01dB,1.61958349489456e+01°)
6.91830970918949e+05	(-3.94802662535173e+01dB,1.18133939663047e+02°)	(-6.22181767515429e+01dB,1.31241643585128e+01°)
7.24435960075003e+05	(-4.06371940684567e+01dB,1.17099783160215e+02°)	(-6.24754607117028e+01dB,9.64612048932424e+00°)
7.58577575029197e+05	(-4.17912432818924e+01dB,1.16105979344475e+02°)	(-6.26753739757009e+01dB,5.61671842541204e+00°)
7.94328234724296e+05	(-4.29422788422634e+01dB,1.15144136971504e+02°)	(-6.28184905255162e+01dB,8.40468450278593e-01°)
8.31763771102686e+05	(-4.40905126003702e+01dB,1.14203953633733e+02°)	(-6.29138037484744e+01dB,-4.94235256269509e+00°)
8.70963589956096e+05	(-4.52368929077816e+01dB,1.13273537552131e+02°)	(-6.29872296923456e+01dB,-1.20595495833947e+01°)
9.12010839355926e+05	(-4.63836959884483e+01dB,1.12342460097892e+02°)	(-6.30952940349139e+01dB,-2.08714392524858e+01°)
9.54992586021453e+05	(-4.75348656846240e+01dB,1.11410999145640e+02°)	(-6.33403972766174e+01dB,-3.16359859646518e+01°)
1.00000000000002e+06	(-4.86945420713770e+01dB,1.10504850469924e+02°)	(-6.38689485775857e+01dB,-4.42249143396318e+01°)
1.04712854805092e+06	(-4.98625398609308e+01dB,1.09675395461282e+02°)	(-6.48199295964422e+01dB,-5.78348615313773e+01°)
1.09647819614321e+06	(-5.10313895969607e+01dB,1.08960868430580e+02°)	(-6.62341999344289e+01dB,-7.11322344839836e+01°)
1.14815362149690e+06	(-5.21916320569597e+01dB,1.08347733346111e+02°)	(-6.80210975849683e+01dB,-8.29357372756893e+01°)
1.20226443461744e+06	(-5.33388589296526e+01dB,1.07789657299893e+02°)	(-7.00280097686321e+01dB,-9.27314558956846e+01°)
1.25892541179419e+06	(-5.44737407983463e+01dB,1.07246559372487e+02°)	(-7.21229001472800e+01dB,-1.00588906489893e+02°)
1.31825673855643e+06	(-5.55986632117009e+01dB,1.06696816807731e+02°)	(-7.42226669317605e+01dB,-1.06834107002124e+02°)
1.38038426460291e+06	(-5.67157342084891e+01dB,1.06131339910400e+02°)	(-7.62845326052357e+01dB,-1.11824944517353e+02°)
1.44543977074595e+06	(-5.78263551832203e+01dB,1.05546470221170e+02°)	(-7.82902889324801e+01dB,-1.15864885694438e+02°)
1.51356124843624e+06	(-5.89313657486725e+01dB,1.04940125379710e+02°)	(-8.02347099819092e+01dB,-1.19188581497986e+02°)
1.58489319246114e+06	(-6.00312585691442e+01dB,1.04310263014904e+02°)	(-8.21188391995759e+01dB,-1.21971744786574e+02°)
1.65958690743759e+06	(-6.11263366355800e+01dB,1.03654422533687e+02°)	(-8.39464716748241e+01dB,-1.24345250102229e+02°)
1.73780082874941e+06	(-6.22168100292579e+01dB,1.02969678125209e+02°)	(-8.57224067709536e+01dB,-1.26407283715411e+02°)
1.81970085861002e+06	(-6.33028516348092e+01dB,1.02252722229750e+02°)	(-8.74516178673230e+01dB,-1.28232476309658e+02°)
1.90546071796328e+06	(-6.43846280912002e+01dB,1.01499975550162e+02°)	(-8.91388823824284e+01dB,-1.29878429552236e+02°)
1.99526231496892e+06	(-6.54623162482855e+01dB,1.00707689742771e+02°)	(-9.07886376810526e+01dB,-1.31390298011196e+02°)
2.08929613085408e+06	(-6.65361110605564e+01dB,9.98720342495401e+01°)	(-9.24049445234037e+01dB,-1.32803996392276e+02°)
2.18776162394960e+06	(-6.76062282577955e+01dB,9.89891668757494e+01°)	(-9.39914987845492e+01dB,-1.34148454465043e+02°)
2.29086765276782e+06	(-6.86729036889215e+01dB,9.80552897667926e+01°)	(-9.55516620495638e+01dB,-1.35447215916466e+02°)
2.39883291901954e+06	(-6.97363904548356e+01dB,9.70666924327145e+01°)	(-9.70884968245687e+01dB,-1.36719584868533e+02°)
2.51188643150963e+06	(-7.07969545332814e+01dB,9.60197830429894e+01°)	(-9.86047997986960e+01dB,-1.37981459484203e+02°)
2.63026799189543e+06	(-7.18548693830221e+01dB,9.49111087700138e+01°)	(-1.00103130493299e+02dB,-1.39245948436493e+02°)
2.75422870333822e+06	(-7.29104099055025e+01dB,9.37373657057954e+01°)	(-1.01585834603213e+02dB,-1.40523836355718e+02°)
2.88403150312666e+06	(-7.39638460849937e+01dB,9.24953987531741e+01°)	(-1.03055062297066e+02dB,-1.41823944179558e+02°)
3.01995172040208e+06	(-7.50154365969364e+01dB,9.11821919327400e+01°)	(-1.04512782183686e+02dB,-1.43153416394244e+02°)
3.16227766016844e+06	(-7.60654226497929e+01dB,8.97948496656979e+01°)	(-1.05960791817327e+02dB,-1.44517957373572e+02°)
3.31131121482598e+06	(-7.71140223014377e+01dB,8.83305697610868e+01°)	(-1.07400725628085e+02dB,-1.45922032137596e+02°)
3.46736850452539e+06	(-7.81614254611229e+01dB,8.67866090164934e+01°)	(-1.08834061104662e+02dB,-1.47369041821985e+02°)
3.63078054770109e+06	(-7.92077897509707e+01dB,8.51602424993233e+01°)	(-1.10262123942920e+02dB,-1.48861480616518e+02°)
3.80189396320569e+06	(-8.02532373579948e+01dB,8.34487176790064e+01°)	(-1.11686092747522e+02dB,-1.50401078279700e+02°)
3.98107170553505e+06	(-8.12978529615282e+01dB,8.16492045822188e+01°)	(-1.13107003728717e+02dB,-1.51988930578052e+02°)
4.16869383470344e+06	(-8.23416827742570e+01dB,7.97587430788496e+01°)	(-1.14525755696595e+02dB,-1.53625618726408e+02°)
4.36515832240175e+06	(-8.33847346948517e+01dB,7.77741881960962e+01°)	(-1.15943115518754e+02dB,-1.55311318206058e+02°)
4.57088189614884e+06	(-8.44269795390862e+01dB,7.56921540719617e+01°)	(-1.17359724086946e+02dB,-1.57045896953704e+02°)
4.78630092322648e+06	(-8.54683533036090e+01dB,7.35089567480050e+01°)	(-1.18776102738276e+02dB,-1.58829002884888e+02°)
5.01187233627283e+06	(-8.65087604236547e+01dB,7.12205555376538e+01°)	(-1.20192659997936e+02dB,-1.60660140916483e+02°)
5.24807460249784e+06	(-8.75480780211779e+01dB,6.88224921792404e+01°)	(-1.21609698463634e+02dB,-1.62538740013673e+02°)
5.49540873857636e+06	(-8.85861612059333e+01dB,6.63098264508089e+01°)	(-1.23027421631938e+02dB,-1.64464211284500e+02°)
5.75439937337169e+06	(-8.96228495929915e+01dB,6.36770664315852e+01°)	(-1.24445940476502e+02dB,-1.66435998707987e+02°)
6.02559586074371e+06	(-9.06579753408147e+01dB,6.09180911599007e+01°)	(-1.25865279628426e+02dB,-1.68453624685288e+02°)
6.30957344480207e+06	(-9.16913731995106e+01dB,5.80260631614659e+01°)	(-1.27285383078436e+02dB,-1.70516733204130e+02°)
6.60693448007610e+06	(-9.27228932961645e+01dB,5.49933282253114e+01°)	(-1.28706119423922e+02dB,-1.72625134004454e+02°)
6.91830970918951e+06	(-9.37524176830537e+01dB,5.18113000317756e+01°)	(-1.30127286821631e+02dB,-1.74778851740847e+02°)
7.24435960075006e+06	(-9.47798820498940e+01dB,4.84703279295471e+01°)	(-1.31548618000487e+02dB,-1.76978184656937e+02°)
7.58577575029200e+06	(-9.58053044652053e+01dB,4.49595475739102e+01°)	(-1.32969785947472e+02dB,-1.79223777753331e+02°)
7.94328234724299e+06	(-9.68288235817160e+01dB,4.12667167058053e+01°)	(-1.34390411241166e+02dB,1.78483284389401e+02°)
8.31763771102689e+06	(-9.78507494155218e+01dB,3.73780426966617e+01°)	(-1.35810072503495e+02dB,1.76141360322675e+02°)
8.70963589956100e+06	(-9.88716305593607e+01dB,3.32780155878515e+01°)	(-1.37228322109022e+02dB,1.73748106636371e+02°)
9.12010839355930e+06	(-9.98923424246952e+01dB,2.89492715838700e+01°)	(-1.38644710157897e+02dB,1.71300305258137e+02°)
9.54992586021457e+06	(-1.00914201594200e+02dB,2.43725291270396e+01°)	(-1.40058820741641e+02dB,1.68793670443597e+02°)
1.00000000000000e+07	(-1.01939111155961e+02dB,1.95266648386723e+01°)	(-1.41470325556455e+02dB,1.66222655636282e+02°)
